,관측일자,지점명,평균기온(℃),최저기온(℃),최대기온(℃),평균습도(%),최저습도(%),최고습도(%),평균풍속(m/s),최대풍속(m/s),강수량(mm),lat,long,spot_num
3168,20180527.0,노원,22.1000003814697,18.5,26.6000003814697,49.4000015258789,34.9000015258789,70.1999969482422,0.800000011920929,3.0,0.0,37.626062,127.09622900000001,C-18
3169,20180528.0,노원,23.3999996185303,16.3999996185303,32.9000015258789,51.5999984741211,26.2999992370605,68.5,0.699999988079071,3.59999990463257,0.0,37.626062,127.09622900000001,C-18
3170,20180529.0,노원,22.8999996185303,20.2000007629395,27.7000007629395,63.2000007629395,51.5999984741211,85.1999969482422,0.899999976158142,3.59999990463257,0.5,37.626062,127.09622900000001,C-18
3171,20180607.0,노원,24.2999992370605,18.8999996185303,32.0999984741211,65.1999969482422,36.2000007629395,87.6999969482422,0.800000011920929,4.0,0.0,37.626062,127.09622900000001,C-18
3172,20180608.0,노원,22.8999996185303,19.1000003814697,28.5,68.0999984741211,49.9000015258789,84.8000030517578,0.800000011920929,3.09999990463257,0.0,37.626062,127.09622900000001,C-18
3173,20180609.0,노원,24.2999992370605,19.8999996185303,30.6000003814697,62.5999984741211,39.2999992370605,87.0999984741211,1.20000004768372,4.0,1.0,37.626062,127.09622900000001,C-18
3174,20180610.0,노원,21.2999992370605,18.0,25.3999996185303,63.2999992370605,52.9000015258789,82.0,1.20000004768372,3.70000004768372,0.5,37.626062,127.09622900000001,C-18
3175,20180611.0,노원,21.1000003814697,17.8999996185303,25.2999992370605,63.2999992370605,48.5999984741211,94.0,0.899999976158142,3.29999995231628,1.5,37.626062,127.09622900000001,C-18
3176,20180612.0,노원,22.2999992370605,16.7999992370605,28.8999996185303,65.3000030517578,39.2999992370605,91.0999984741211,0.899999976158142,3.40000009536743,0.0,37.626062,127.09622900000001,C-18
3177,20180613.0,노원,23.1000003814697,18.7000007629395,28.2000007629395,65.5,48.7999992370605,82.0,0.800000011920929,3.59999990463257,0.0,37.626062,127.09622900000001,C-18
3178,20180614.0,노원,22.0,18.2000007629395,26.2999992370605,77.0,58.7999992370605,94.9000015258789,0.899999976158142,3.70000004768372,28.0,37.626062,127.09622900000001,C-18
3179,20180615.0,노원,22.0,16.7000007629395,27.8999996185303,62.5,43.7000007629395,94.6999969482422,1.29999995231628,4.19999980926514,3.0,37.626062,127.09622900000001,C-18
3180,20180616.0,노원,23.1000003814697,16.2999992370605,29.8999996185303,55.7000007629395,40.0,72.0,0.899999976158142,2.70000004768372,0.0,37.626062,127.09622900000001,C-18
3181,20180617.0,노원,23.6000003814697,19.3999996185303,29.0,68.3000030517578,49.2000007629395,84.9000015258789,0.400000005960464,3.0,0.0,37.626062,127.09622900000001,C-18
3182,20180618.0,노원,26.2000007629395,20.3999996185303,33.5,57.9000015258789,33.2999992370605,85.0999984741211,0.699999988079071,4.0,0.0,37.626062,127.09622900000001,C-18
3183,20180619.0,노원,24.0,19.8999996185303,29.7000007629395,60.9000015258789,39.2000007629395,78.6999969482422,0.899999976158142,3.79999995231628,0.0,37.626062,127.09622900000001,C-18
3184,20180620.0,노원,24.3999996185303,19.5,31.7000007629395,64.5,35.7999992370605,83.8000030517578,1.10000002384186,3.90000009536743,0.0,37.626062,127.09622900000001,C-18
3185,20180621.0,노원,25.1000003814697,19.6000003814697,30.7999992370605,60.0,33.0999984741211,88.0999984741211,1.10000002384186,4.40000009536743,0.0,37.626062,127.09622900000001,C-18
3186,20180622.0,노원,26.6000003814697,19.1000003814697,35.0999984741211,44.5999984741211,22.7000007629395,75.5,0.800000011920929,3.59999990463257,0.0,37.626062,127.09622900000001,C-18
3187,20180623.0,노원,25.7999992370605,21.2999992370605,31.5,48.7999992370605,28.7999992370605,77.4000015258789,1.20000004768372,4.09999990463257,0.0,37.626062,127.09622900000001,C-18
3188,20180624.0,노원,26.7000007629395,21.3999996185303,35.0,60.5999984741211,26.8999996185303,87.0,1.10000002384186,4.19999980926514,0.0,37.626062,127.09622900000001,C-18
3189,20180625.0,노원,28.1000003814697,22.1000003814697,35.5999984741211,58.0,34.4000015258789,78.6999969482422,0.699999988079071,3.20000004768372,0.0,37.626062,127.09622900000001,C-18
3190,20180626.0,노원,23.1000003814697,19.7000007629395,28.2999992370605,85.3000030517578,48.7000007629395,94.9000015258789,1.10000002384186,4.90000009536743,89.0,37.626062,127.09622900000001,C-18
3191,20180627.0,노원,23.6000003814697,19.2999992370605,27.7999992370605,81.9000015258789,64.5999984741211,94.9000015258789,0.899999976158142,4.59999990463257,0.0,37.626062,127.09622900000001,C-18
3192,20180628.0,노원,24.2000007629395,19.1000003814697,30.2999992370605,84.5,62.5,94.9000015258789,0.5,5.59999990463257,18.0,37.626062,127.09622900000001,C-18
3193,20180629.0,노원,25.8999996185303,21.2000007629395,32.0,76.5,48.5,94.9000015258789,0.699999988079071,3.90000009536743,2.5,37.626062,127.09622900000001,C-18
3194,20180630.0,노원,25.1000003814697,21.2000007629395,30.1000003814697,84.5999984741211,64.0,94.9000015258789,0.400000005960464,3.29999995231628,28.5,37.626062,127.09622900000001,C-18
3195,20180701.0,노원,22.2000007629395,20.7999992370605,23.2999992370605,94.9000015258789,94.0,94.9000015258789,0.300000011920929,3.5,74.0,37.626062,127.09622900000001,C-18
3196,20180702.0,노원,22.5,20.5,25.7999992370605,94.9000015258789,94.9000015258789,94.9000015258789,0.300000011920929,3.09999990463257,57.5,37.626062,127.09622900000001,C-18
3197,20180703.0,노원,27.8999996185303,22.5,33.7000007629395,78.1999969482422,51.9000015258789,94.9000015258789,0.400000005960464,3.40000009536743,0.0,37.626062,127.09622900000001,C-18
3198,20180704.0,노원,28.7999992370605,24.7000007629395,34.2000007629395,70.8000030517578,52.5999984741211,90.4000015258789,0.800000011920929,3.90000009536743,0.0,37.626062,127.09622900000001,C-18
3199,20180705.0,노원,26.2000007629395,22.7000007629395,31.3999996185303,77.4000015258789,62.9000015258789,94.9000015258789,1.10000002384186,4.80000019073486,2.0,37.626062,127.09622900000001,C-18
3200,20180706.0,노원,24.8999996185303,21.7999992370605,29.0,59.0,50.0999984741211,66.5,1.89999997615814,5.09999990463257,0.0,37.626062,127.09622900000001,C-18
3201,20180707.0,노원,24.1000003814697,19.7999992370605,29.5,54.5,45.7000007629395,64.1999969482422,1.60000002384186,4.59999990463257,0.0,37.626062,127.09622900000001,C-18
3202,20180708.0,노원,23.5,18.0,29.6000003814697,54.7999992370605,42.2999992370605,68.0999984741211,1.10000002384186,3.40000009536743,0.0,37.626062,127.09622900000001,C-18
3203,20180709.0,노원,21.2000007629395,19.6000003814697,24.6000003814697,83.5,65.5999984741211,94.9000015258789,0.600000023841858,3.20000004768372,12.0,37.626062,127.09622900000001,C-18
3204,20180710.0,노원,23.7000007629395,20.0,28.3999996185303,89.9000015258789,79.0999984741211,94.9000015258789,0.100000001490116,1.60000002384186,25.0,37.626062,127.09622900000001,C-18
3205,20180711.0,노원,27.2000007629395,24.1000003814697,31.2000007629395,86.0,70.4000015258789,94.9000015258789,0.300000011920929,3.20000004768372,4.5,37.626062,127.09622900000001,C-18
3206,20180712.0,노원,28.0,25.6000003814697,30.8999996185303,84.4000015258789,71.6999969482422,94.9000015258789,0.800000011920929,4.0,0.5,37.626062,127.09622900000001,C-18
3207,20180713.0,노원,28.6000003814697,25.5,33.2999992370605,76.8000030517578,57.7000007629395,93.3000030517578,1.0,4.09999990463257,0.0,37.626062,127.09622900000001,C-18
3208,20180714.0,노원,29.3999996185303,25.7000007629395,34.0,70.4000015258789,51.5999984741211,90.9000015258789,1.10000002384186,4.09999990463257,0.0,37.626062,127.09622900000001,C-18
3209,20180715.0,노원,29.6000003814697,25.0,35.4000015258789,71.3000030517578,46.2999992370605,90.6999969482422,0.800000011920929,3.79999995231628,0.0,37.626062,127.09622900000001,C-18
